Комментарий,Время,Лайки
"Саша уже не впервые прошу, сделать выпуск про маньяка Михасевича. Витебское дело",2023-12-16T02:15:49Z,2
"Прекрасно говорит Алексей Кузнецов, увлекательно и содержательно. Только в конце прокол - не бегал маленький Вито Корлеоне среди бойцов Чёрной руки. Он детство на Сицилии провёл. А потом всё сыграл де Ниро во второй части.",2023-12-16T00:27:59Z,0
Интересно было бы послушать про Зодиака.,2023-12-15T22:19:39Z,0
"Замечательные видео,Можете пожалуйста сделать еще видео про джеффри дамера и джона уэйна гейси,очень интересно про них послушать от вас!",2023-12-15T21:38:46Z,0
"Интересный выпуск, и дополнительный плюс за неизбитый объект разбора для трукрайм.",2023-12-15T21:30:38Z,2
Очень хочется увидеть про Анатолия Москвина из Нижнего Новгорода,2023-12-15T21:17:01Z,0
"иноагенты, ясно",2023-12-15T20:52:23Z,0
"Спасибо вам за эту прекрасную работу! На мой взгляд, самый интересный выпуск. Я совершенно не заметила, как прошло время.",2023-12-15T20:15:07Z,0
"Сашенька, кушай пожалуйста поплотнее, уж больно худенька...😘😢",2023-12-15T19:38:42Z,2
"Ооооочень интересно, спасибо, Саша❤",2023-12-15T19:22:33Z,0
саня сама как убийца по внешности,2023-12-15T18:33:46Z,1
Сделайте выпуск про маньяка Спесивцева.,2023-12-15T18:32:26Z,0
Большое спасибо за один из самых лучших выпусков! Сашу и приглашённого эксперта слушаешь с упоением. А история жизни Петрозино тронула до слёз. Продолжайте творить! ❤,2023-12-15T18:22:17Z,3
"С удовольствием смотрел прошлые видео, но это не зашло(",2023-12-15T18:20:56Z,0
Люблю в десна❤❤❤❤,2023-12-15T17:43:55Z,0
"Спасибо ❤ Саша, вы молодец!",2023-12-15T17:11:00Z,0
"И Алексей , и Саша великолепные рассказчики ! Спасибо за очередную историю !",2023-12-15T17:01:22Z,1
"Саша, сделайте пожалуйста видео : людоед из Алматы, он вроде скрывался потом в горах",2023-12-15T15:56:38Z,0
"Здравствуйте, все Ваши видео очень интересные и увлекательные. Только по-моему мнению на видео больше времени виделайте себе чем материалу и Ваше кривление лицом делать интереснее и захватывающий рассказ нервирует.",2023-12-15T15:26:15Z,0
"История достойная экранизации
Вы её очень красиво повествовали",2023-12-15T15:04:35Z,2
"Абсолютно внезапный Алексей Валерьевич! Какой коллаб, вот это я понимаю ❤️",2023-12-15T14:48:09Z,2
Спасибо за эксперта❤❤❤❤❤,2023-12-15T14:35:40Z,0
"Саша вы прекрасны! Расскажите о жизни Иртышова, как он стал таким ужасным человеком, кто его поймал и как. Спасибо ❤",2023-12-15T14:27:34Z,0
"Очень много рекламы и сам сюжет авно!!! Раньше было лучше, дизлайк поставлю",2023-12-15T14:15:58Z,0
"Как же прекрасно пользоваться ютуб вансед. Пропускает эту всю никчёмную, всем ненужную, попрошайническую рекламу.",2023-12-15T14:02:46Z,2
Замечательная работа❤,2023-12-15T13:47:30Z,0
Саша Сулим меня не прекращает удивлять. Насколько разносторонние выпуски в этой тематике,2023-12-15T13:25:24Z,3
"Вы или продажная дешевка, или хитрая девка. Зачем плагиатиш.
А правды ноль",2023-12-15T13:20:12Z,0
Про скинхедов,2023-12-15T13:08:16Z,0
Очень интересно! Спасибо за ваш труд!,2023-12-15T11:58:39Z,1
